path	overlap_class	slice	resolution	integration_commits	evidence
docs/README.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
docs_tooling/catalog.py	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
references/blueprint/README.md	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
references/blueprint/runtime_dependencies.json	O03	S4,S6	use pilot manifest then regenerate final manifest from migrated inventory	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
references/certification/certification-basis-roots.json	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
references/node-standards/authority-disposition.yaml	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
references/node-standards/instruction-module.standard.yaml	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
references/node-standards/module.standard.yaml	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
references/node-standards/python-module.standard.yaml	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
scripts/run-python-tests.py	O05	S2	preserve target deletion and translate source semantics into unified runner	0901a75+8cb8781	changed-on-both-resolution;progress-log:S2;checkpoint-hooks;closure-full-pending
skills/cloud-files/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/cloud-files/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
