status	path	protection_group	slice	resolution	integration_commits	evidence
M	.githooks/pre-commit	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
A	.githooks/pre-push	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	.githooks/skill/check-blueprints	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	.githooks/skill/check-dependencies	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	.githooks/skill/check-names	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	.githooks/skill/check-runtime-files	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	.github/workflows/python-tests.yml	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	README.md	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	TESTING.md	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	docs/README.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/contributors/README.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/contributors/documentation-system.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/design/test-suite-performance.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/graphs/skill-taxonomy.svg	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/launchers.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/officina/README.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R078	docs/architectural-principles.md -> docs/officina/architectural-principles.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R098	docs/architecture.md -> docs/officina/architecture.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R100	docs/contributors/blueprint-discovery-metadata.md -> docs/officina/blueprint-discovery-metadata.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
R100	docs/blueprint_search.md -> docs/officina/blueprint_search.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
R100	docs/certification_and_drift.md -> docs/officina/certification_and_drift.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R100	docs/contributors/configured-schema.md -> docs/officina/configured-schema.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R100	docs/docstring.md -> docs/officina/docstring.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R099	docs/installation.md -> docs/officina/installation.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R092	docs/scaffolding/README.md -> docs/officina/scaffolding/README.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
R097	docs/skill-blueprints.md -> docs/officina/skill-blueprints.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
R089	docs/visualization.md -> docs/officina/visualization.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/reports/2026-08-09-deferred-fixes-audited-integration-guide.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/skills.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-04-blueprint-visualization-metadata-grouping.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-04-ten-skill-refactor-pass-2.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-05-boundaries-validator-performance.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-05-recurring-tasks-independent-failure-notification.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-05-remaining-validator-performance.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-05-repository-checks.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-05-user-doc-validator-fixtures.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-08-officina-docs-integration.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/plans/2026-08-08-unified-repository-check-pool.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-04-blueprint-visualization-metadata-grouping-design.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-05-boundaries-validator-performance-design.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-05-recurring-tasks-independent-failure-notification-design.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-05-repository-checks-design.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-05-user-doc-validator-fixtures-design.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	docs/superpowers/specs/2026-08-08-officina-docs-integration-design.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/user/research.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs/user/system.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs_tooling/catalog.py	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs_tooling/graphs/graph_specs.py	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	docs_tooling/render.py	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/blueprint/README.md	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	references/blueprint/runtime_dependencies.json	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	references/certification/certification-basis-roots.json	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	references/node-standards/authority-disposition.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/behavioral-source.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/instruction-behavioral-source.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/instruction-module.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/instruction-node.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/module.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/node.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/python-behavioral-source.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/python-module.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/python-node.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/node-standards/refactoring.standard.yaml	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	references/standards/validate_standard_v6.py	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
A	repo_checks.py	T04	S2,S8	retain	0901a75+8cb8781,3ae2a40	target-base-preservation;progress-log:S2,S8;checkpoint-hooks;closure-full-pending
A	scripts/benchmark-command.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
A	scripts/benchmark-precommit.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	scripts/generate-previews.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
D	scripts/run-python-tests.py	T04	S2	preserve deletion and unified-runner replacement	0901a75+8cb8781	target-base-preservation;progress-log:S2;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/_drive_gateway.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/tests/test_cloud_files.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/blueprint.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/tests/test_service_delegation.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/email-client/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/email-triage/DEBUGGING.md	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/_envelope_gate.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/_failure_sentinel.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/_watermark_writer.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/email-triage/instructions/triage.md	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/email-triage/tests/test_llm_routing.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprints/rtx-gcal-client.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/g-calendar/_rtx/tests/test_g_calendar_guidance.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/SKILL.md	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_phase_entry.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/assets/bin/tmux-workspace	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
A	skills/install-assistant-tools/_rtx/assets/bin/tw-break	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
A	skills/install-assistant-tools/_rtx/assets/bin/tw-help	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
A	skills/install-assistant-tools/_rtx/assets/bin/tw-join	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
A	skills/install-assistant-tools/_rtx/assets/bin/tw-monitor	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/install_test_utils.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_claude_github_install.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_claude_install.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_codex_install.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/tests/test_e2e_lifecycle.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
